"equation_id","variable_biomass_component","equation","allometry_specificity","development_species","geographic_area","minDBH","maxDHB","DBH_units","biomass_unit","allometry_development_method","corrected_for_bias","bias.correction._CF","ref_id"
NA,"Stem + branches (live)","a*(DBH^2)^b","Species","","North Carolina","29.46","41.66","in","lb",NA,"yes","included in model",NA
NA,"Whole tree (above stump)","a+b*DBH+c*(DBH^d)","Species","","North Central States","2.5","40","cm","kg",NA,"no",NA,NA
NA,"Whole tree (above stump)","a+b*DBH+c*(DBH^d)","Species","Ulmus americana","North Central States","2.5","40","cm","kg",NA,"no",NA,NA
NA,"Whole tree (above stump)","a+b*DBH+c*(DBH^d)","Species","","New York","25","550","mm","kg",NA,"no",NA,NA
NA,"Whole tree (above stump)","a+b*DBH+c*(DBH^d)","Species","Fraxinus americana","New York","25","550","mm","kg",NA,"no",NA,NA
NA,"Total aboveground biomass","a*DBA^b","Species","","Canada","0.18","4.31","cm","g",NA,"yes","included in model",NA
NA,"Whole tree (aboveground)","a*DBH^b","Species","","Tennessee","14","43","cm","kg",NA,"no",NA,NA
NA,"Stem + branches (live)","a*DBH^b","Species ","","West Virginia","5.08","50.8","in","lb",NA,"yes","included in model",NA
NA,"Stem + branches (live)","a*DBH^b","Species","","West Virginia","5.08","50.8","in","lb",NA,"yes","included in model",NA
NA,"Stem + branches (live)","a*DBH^b","Species","","West Virginia","5.08","40.64","in","lb",NA,"no",NA,NA
NA,"Stem + branches (live)","a*DBH^b","Species","","West Virginia","5.08","50.8","in","lb",NA,"yes","included in model",NA
NA,"Stem + branches (live)","a*DBH^b","Species","","West Virginia","5.08","50.8","in","lb",NA,"yes","included in model",NA
NA,"Whole tree (above stump)","a*DBH^b","Species","","West Virginia","5.08","40.64","in","lb",NA,"no",NA,NA
NA,"Stem + branches (live)","a*DBH^b","Species","","West Virginia","5.08","50.8","in","lb",NA,"yes","0",NA
NA,"Stem + branches (live)","a*DBH^b","Species","","West Virginia","5.08","50.8","in","lb",NA,"yes","included in model",NA
NA,"Stem (wood + bark)","exp(a+b*lnDBH)","Genus","","Tennessee","8.9","25.4","cm","g",NA,"yes","included in model",NA
NA,"Total aboveground biomass","exp(a+b*lnDBH)","Mixed hardwood","","North America","2.5","56","cm","kg",NA,"yes","0.36",NA
NA,"Total aboveground biomass","exp(a+b*lnDBH)","Mixed hardwood","","North America","2.5","56","cm","kg",NA,"yes","0.36",NA
NA,"Total aboveground biomass","exp(a+b*lnDBH)","Mixed hardwood","","North America","2.5","56","cm","kg",NA,"yes","0.36",NA
NA,"Total aboveground biomass","exp(a+b*lnDBH)","Mixed hardwood","","North America","2.5","56","cm","kg",NA,"yes","0.36",NA
NA,"Total aboveground biomass","exp(a+b*lnDBH)","Family","","North America","4","42","cm","kg",NA,"yes","included in model",NA
NA,"Total aboveground biomass","exp(a+b*lnDBH)","Family","","North America","3","64","cm","kg",NA,"yes","included in model",NA
NA,"Total aboveground biomass","exp(a+b*lnDBH)","Mixed hardwood","","North America","2.5","56","cm","kg",NA,"yes","0.36",NA
NA,"Total aboveground biomass","exp(a+b*lnDBH)","Family","","North America","3","64","cm","kg",NA,"yes","included in model",NA
NA,"Stem + branches (live)","lnbiomass=a+b*DBH+c*(ln(DBH^d))","Species","","New Hampshire","1","9","cm","g",NA,"yes","0",NA
NA,"Foliage total","lnbiomass=a+b*DBH+c*(ln(DBH^d))","Species","","New Hampshire","1","9","cm","g",NA,"yes","0",NA
NA,"Whole tree (aboveground)","lnbiomass=a+b*DBH+c*(ln(DBH^d))","Species","","Ohio","1.85","7.25","cm","g",NA,"no",NA,NA
NA,"Whole tree (aboveground)","log10biomass=a+b*(log10(DBH^c))","Species","","Ohio","0.55","7.76","cm","g",NA,"yes","1.006",NA
NA,"Whole tree (aboveground)","log10biomass=a+b*(log10(DBH^c))","Genus","","North Carolina","8.2","52.3","cm","kg",NA,"yes","1.005",NA
NA,"Whole tree (aboveground)","log10biomass=a+b*(log10(DBH^c))","Genus","","North Carolina","8.2","52.3","cm","kg",NA,"yes","1.005",NA
NA,"Whole tree (aboveground)","log10biomass=a+b*(log10(DBH^c))","Genus","","North Carolina","8.2","52.3","cm","kg",NA,"yes","1.005",NA
